11	2.09	0.07	5.81	3	2	28.54	181.95	0.52	12	0.40	3.033276	# LS tree differs in height (short)
6	3.93	-4.36	2.46	2	3	31.62	198.12	0.15	16	0.40	2.830596	# LS tree differs in height (short)
5	4.05	2.57	3.84	3	2	32.27	107.82	0.13	16	0.61	2.372947	# LS tree differs in height (short)
13	-4.56	0.21	5.30	2	3	30.49	155.54	0.40	17	0.11	2.213051	# LS tree differs in height (short)
5	2.07	-4.90	5.76	3	3	34.73	168.72	0.65	19	0.94	3.815471	# LS tree differs in height (short)
8	-3.85	-3.03	4.61	2	2	20.69	150.49	0.34	16	1.58	6.177182	# LS tree differs in height (short)
8	-1.33	0.58	4.81	3	3	30.70	125.91	0.59	10	1.12	4.434313	# LS tree differs in height (short)
8	-3.14	4.67	4.17	2	3	34.30	86.32	0.23	10	0.82	2.968885	# LS tree differs in height (short)
5	-2.11	-1.74	2.23	3	3	39.47	120.79	0.24	14	0.80	2.868194	# LS tree differs in height (short)
5	-0.42	-4.83	2.85	2	2	22.96	194.98	0.45	14	0.52	2.248055	# LS tree differs in height (short)
7	-3.56	0.75	2.37	3	3	38.65	120.35	0.52	13	1.15	10.242869	# LS tree differs in height (short)
6	-4.31	-1.21	3.49	3	2	33.80	122.14	0.36	19	1.70	3.859551	# LS tree differs in height (short)
5	-4.80	-3.79	4.44	2	2	31.16	137.88	0.41	19	1.07	2.526361	# LS tree differs in height (short)
8	-2.74	1.76	2.18	3	3	30.80	114.12	0.87	16	0.12	2.228608	# LS tree differs in height (short)
5	3.94	1.16	5.59	3	3	24.57	89.43	0.12	19	0.26	2.020752	# LS tree differs in height (short)
5	-0.73	-4.41	6.00	2	2	28.51	81.60	0.70	14	1.90	2.455488	# LS tree differs in height (short)
10	-1.81	1.03	4.99	3	2	20.27	128.03	0.31	11	0.17	2.034587	# LS tree differs in height (short)
10	3.80	0.42	5.63	3	2	24.41	105.07	0.42	14	1.70	21.851772	# LS tree differs in height (short)
8	3.99	-4.13	2.76	2	2	25.36	68.15	0.28	10	1.72	4.394555	# LS tree differs in height (short)
5	2.93	-1.02	2.20	2	2	39.22	159.79	0.68	13	1.27	2.436041	# LS tree differs in height (short)
8	0.58	-0.79	5.31	2	3	24.56	72.79	0.46	13	1.75	18.331893	# LS tree differs in height (short)
7	0.03	-3.15	5.46	2	2	39.66	70.45	0.41	19	1.75	4.858254	# LS tree differs in height (short)
8	-4.28	2.41	2.46	2	2	30.57	109.29	0.55	16	1.84	6.880294	# LS tree differs in height (short)
6	-2.47	4.34	2.41	2	2	22.64	105.90	0.88	15	0.72	2.799049	# LS tree differs in height (short)
11	2.37	4.67	5.02	2	2	33.59	86.76	0.67	16	1.22	34.775713	# LS tree differs in height (short)
18	3.61	-2.21	5.95	3	2	22.55	72.59	0.22	13	1.03	2.009511	# LS tree differs in height (short)
8	-2.89	-1.57	4.15	2	3	39.19	154.74	0.30	10	0.52	3.089888	# LS tree differs in height (short)
11	2.77	-4.77	2.21	3	2	38.36	68.08	0.83	13	1.77	35.204840	# LS tree differs in height (short)
14	2.75	2.89	5.46	3	2	29.37	133.58	0.24	17	0.63	18.272256	# LS tree differs in height (short)
12	0.74	2.22	4.71	3	3	38.88	199.05	0.23	15	0.75	1.999568	# LS tree differs in height (short)
19	-3.79	0.42	3.58	3	3	20.15	136.81	0.44	19	0.18	2.009079	# LS tree differs in height (short)
10	3.32	-2.61	4.71	2	2	24.97	169.47	0.46	15	0.34	3.284356	# LS tree differs in height (short)
5	-0.64	2.57	2.97	3	2	33.85	65.78	0.80	10	0.72	1.998703	# LS tree differs in height (short)
5	3.52	-4.78	2.34	2	3	37.11	151.07	0.55	19	1.03	3.247623	# LS tree differs in height (short)
6	0.87	4.74	2.85	2	3	33.11	120.58	0.26	19	1.47	4.814607	# LS tree differs in height (short)
11	3.11	-0.54	5.91	3	2	37.18	136.89	1.00	13	1.77	49.983146	# LS tree differs in height (short)
